nama_sekolah,status_sekolah,kapasitas_pagu_siswa,jml_rombel,peringkat_akreditasi,jml_rpp_mapel,jml_r_kelas,jml_r_perpus,jml_lab_ipa,jml_r_pimpinan,jml_r_guru,jml_t_ibadah,jml_r_uks,jml_jamban,jml_gudang,jml_r_sirkulasi,jml_t_olahraga,jml_r_kelas_baik,jml_r_perpus_baik,jml_lab_ipa_baik,jml_r_pimpinan_baik,jml_r_guru_baik,jml_t_ibadah_baik,jml_r_uks_baik,jml_jamban_baik,jml_gudang_baik,jml_r_sirkulasi_baik,jml_t_olahraga_baik,is_bopda
SMP 17 AGUSTUS 1945 SURABAYA,1,301,12,A,1980,3,0,1,0,1,0,1,2,0,0,0,3,0,1,0,1,0,1,2,0,0,0,1
SMP ADVENT SURABAYA,1,117,3,B,495,1,1,1,1,1,1,1,4,0,0,1,1,1,1,1,1,1,1,4,0,0,1,1
SMP AL - ISLAH SURABAYA,1,516,19,A,3135,19,1,1,1,1,1,1,4,1,1,1,19,1,1,1,1,1,1,4,1,1,1,1
SMP AL - WACHID SURABAYA,1,133,5,A,825,1,1,0,1,1,1,1,2,0,0,0,1,1,0,1,1,1,1,2,0,0,0,1
SMP AL AMIN,1,332,11,A,1815,1,1,0,1,1,1,1,4,0,0,0,1,1,0,1,1,1,1,4,0,0,0,1
SMP AL FALAH KETINTANG,1,167,6,A,990,4,1,1,1,1,1,1,8,0,0,1,4,1,1,1,1,1,1,8,0,0,1,0
SMP AL FALAH SURABAYA,1,93,6,A,990,3,1,1,1,1,1,1,2,0,0,0,3,1,1,1,1,1,1,2,0,0,0,0
SMP AL HIKMAH,1,600,24,A,3960,26,1,1,1,1,2,1,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
SMP AL HUDA SURABAYA,1,225,8,A,1320,1,1,1,1,1,1,1,4,1,0,1,1,1,1,1,1,1,1,4,1,0,1,1
SMP AL IRSYAD SURABAYA,1,174,10,A,1650,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
SMP AL JIHAD SURABAYA,1,55,3,B,495,1,0,0,1,1,1,0,2,1,0,0,1,0,0,1,1,1,0,2,1,0,0,1
SMP AL KARIMAH SURABAYA,1,196,6,B,990,1,1,1,1,1,1,2,5,0,0,0,1,1,1,1,1,1,2,5,0,0,0,1
SMP AL-AZHAR,1,292,10,B,1650,1,1,1,1,1,1,1,2,0,0,1,1,1,1,1,1,1,1,2,0,0,1,1
SMP AL-IKHLASH SURABAYA,1,159,6,A,990,1,1,1,1,1,1,1,4,0,0,1,1,1,1,1,1,1,1,4,0,0,1,1
SMP ALKHAIRIYAH SURABAYA,1,123,7,A,1155,1,1,1,1,1,1,1,3,1,0,0,1,1,1,1,1,1,1,3,1,0,0,0
SMP ANUGERAH PEKERTI,1,17,3,B,495,1,1,1,1,1,1,1,2,0,0,0,1,1,1,1,1,1,1,2,0,0,0,0
SMP ASSAADAH SURABAYA,1,326,11,B,1815,9,1,1,1,1,1,0,6,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1
SMP ATMA WIDYA SURABAYA,1,28,0,B,0,3,1,1,1,1,1,1,2,0,0,0,3,1,1,1,1,1,1,2,0,0,0,1
SMP ATTARBIYAH SURABAYA,1,69,2,B,330,1,1,1,1,1,1,1,2,0,0,0,1,1,1,1,1,1,1,2,0,0,0,1
"SMP BAHRUL ULUM, SURABAYA",1,398,12,A,1980,2,1,0,0,1,0,1,8,1,0,0,1,0,0,0,1,0,1,8,1,0,0,1
SMP BAITURRAHMAN SURABAYA,1,86,0,B,0,1,1,1,1,1,1,1,5,0,0,1,1,1,1,1,1,1,1,5,0,0,1,1
SMP BAITUSSALAM SURABAYA,1,176,6,A,990,7,1,1,1,0,1,1,2,0,0,0,7,1,1,1,0,1,1,2,0,0,0,1
SMP BARUNAWATI SURABAYA,1,290,11,A,1815,11,1,1,1,1,2,1,2,1,0,1,10,0,0,0,0,1,1,2,0,0,0,1
SMP BELL,1,54,3,B,495,1,1,1,1,1,1,1,2,0,0,0,1,1,1,1,1,1,1,2,0,0,0,0
SMP BINA BANGSA 2 SURABAYA,1,28,3,B,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SMP BINA BANGSA SURABAYA,1,157,6,A,990,2,1,1,1,1,1,1,6,0,0,0,2,1,1,1,1,1,1,6,0,0,0,1
SMP BINA KARYA SURABAYA,1,223,8,A,1320,2,1,1,1,1,1,1,2,0,0,0,2,1,1,1,1,1,1,2,0,0,0,1
SMP BINA PUTRA SURABAYA,1,68,3,A,495,1,1,1,1,1,1,1,2,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1
SMP BINA TARUNA SURABAYA,1,111,4,B,660,1,1,1,1,1,1,1,3,0,0,0,1,1,1,1,1,1,1,3,0,0,0,1
SMP BRAWIJAYA 2 SURABAYA,1,236,10,A,1650,9,1,1,1,1,1,1,2,0,0,0,9,0,1,1,1,1,1,2,0,0,0,1
SMP BRAWIJAYASAKTA I SURABAYA,1,48,3,B,495,1,1,1,1,1,1,1,2,0,0,1,1,0,1,1,1,0,0,2,0,0,1,1
SMP BUNGA BANGSA,1,66,3,B,495,3,1,1,1,1,1,1,4,0,0,0,3,1,1,1,1,1,1,4,0,0,0,0
SMP CAHAYA SURABAYA,1,649,16,A,2640,16,1,1,1,1,1,1,4,1,0,0,16,1,1,1,1,1,1,4,1,0,0,1
SMP CIPUTRA,1,299,17,A,2805,9,1,1,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMP CITA HATI CHRISTIAN SCHOOL,1,360,15,A,2475,2,1,1,2,1,1,1,2,0,0,0,2,1,1,2,1,1,1,2,0,0,0,0
SMP CITRA BERKAT,1,282,13,A,2145,12,1,1,2,1,0,1,2,0,0,0,12,1,1,2,1,0,1,2,0,0,0,0
SMP DAPENA 1 SURABAYA,1,54,3,A,495,3,1,1,1,1,1,1,2,0,0,1,3,1,1,1,1,1,1,2,0,0,1,1
SMP DARUL ULUM SURABAYA,1,254,10,B,1650,6,1,1,1,1,1,1,2,0,0,0,6,1,1,1,1,1,1,2,0,0,0,1
SMP DHANISWARA SURABAYA,1,77,3,B,495,3,1,1,1,1,1,1,2,0,0,0,3,1,1,1,1,1,1,2,0,0,0,1
SMP DHARMA WANITA SURABAYA,1,318,11,A,1815,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1
SMP DIPONEGORO SURABAYA,1,59,3,B,495,1,1,1,1,1,1,1,4,0,0,0,1,1,1,1,1,1,1,4,0,0,0,1
SMP DR SOETOMO SURABAYA,1,772,26,A,4290,20,1,1,1,1,1,1,4,0,0,1,20,1,1,1,1,1,1,4,0,0,1,1
SMP ETIKA DHARMA SURABAYA,1,53,4,B,660,3,1,1,1,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SMP GALUH HANDAYANI SURABAYA,1,24,3,A,495,3,1,0,1,1,1,1,4,0,0,1,3,1,0,1,1,1,1,4,0,0,1,1
SMP GEMA 45 SURABAYA,1,509,15,A,2475,1,1,1,1,1,1,1,4,0,0,0,1,1,1,1,1,1,1,4,0,0,0,1
SMP GHUFRON FAQIH,1,101,4,B,660,3,1,0,1,1,1,1,4,1,0,0,3,0,0,1,1,1,1,4,1,0,0,1
SMP GIKI 1 SURABAYA,1,378,11,A,1815,1,1,1,1,1,1,1,2,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1
SMP GIKI 3 SURABAYA,1,254,8,A,1320,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1
SMP GIRI SURYA SURABAYA,1,50,3,B,495,3,1,1,1,1,1,1,2,0,0,0,3,1,1,1,1,1,1,2,0,0,0,1
